Date,Symbol,Trade Type,Quantity,Price
1/5/2023,ZYME,Stock: Sell at Market,20,$8.11 
1/5/2023,AMKR,Stock: Sell at Market,20,$25.98 
1/4/2023,MCHI,Stock: Sell at Limit,5,$50.71 
1/4/2023,GOOGL,Stock: Buy at Limit,5,$89.15 
1/4/2023,MCD,Stock: Buy at Market Open,5,$266.25 
1/4/2023,GME,Stock: Sell at Market Open,2,$17.25 
1/4/2023,MCD,Stock: Sell at Market Open,5,$266.25 
1/4/2023,PBR,Stock: Sell at Market Open,5,$9.46 
1/4/2023,EXEL,Stock: Sell at Market Open,10,$16.41 
1/4/2023,ICE,Stock: Sell at Market Open,5,$104.44 
1/4/2023,ENPH,Stock: Sell at Market Open,2,$252.45 
1/4/2023,COIN,Stock: Sell at Market Open,2,$34.59 
1/2/2023,AVTR2320M22.5,Option: Buy to Open at Market,1,$1.65 
1/2/2023,AVTR2320A22.5,Option: Buy to Open at Market,10,$0.40 
12/30/2022,SPMB,Stock: Buy at Limit,10,$21.73 
12/30/2022,SGOV,Stock: Buy at Limit,8,$100.15 
12/30/2022,BOND,Stock: Buy at Limit,10,$90.61 
12/30/2022,ENPH,Stock: Buy at Limit,5,$260.40 
12/30/2022,BOND,Stock: Buy at Limit,10,$90.61 
12/30/2022,MCD,Stock: Buy at Limit,10,$264.33 
12/29/2022,ASEA,Stock: Buy at Limit,10,$14.97 
12/29/2022,EOCT,Stock: Buy at Limit,10,$22.41 
12/28/2022,ZYME,Stock: Buy at Limit,104,$7.40 
12/28/2022,SPY,Stock: Buy at Limit,5,$377.84 
12/27/2022,AMKR,Stock: Buy at Market Open,10,$24.58 
12/27/2022,COIN,Stock: Sell at Market Open,4,$34.50 
12/27/2022,BITO,Stock: Buy at Stop,10,$10.46 
12/27/2022,SQQQ,Stock: Buy at Stop,38,$55.39 
12/27/2022,GOOGL,Stock: Buy at Limit,10,$88.15 
10/28/2022,COIN,Stock: Buy at Limit,3,$71.52 
10/28/2022,AMZN,Stock: Buy at Limit,3,$99.04 
10/26/2022,WM,Stock: Buy at Stop,6,$164.01 
10/26/2022,MSFT,Stock: Buy at Limit,5,$230.87 
10/24/2022,ZM2228J81,Option: Buy to Open at Market Open,5,$2.26 
5/31/2022,TMUS,Stock: Buy at Market,5,$133.01 
5/31/2022,MCHI,Stock: Buy at Market,10,$52.35 
5/31/2022,XMLV,Stock: Buy at Market,10,$54.61 
5/31/2022,BTCR,Stock: Buy at Market,100,$7.25 
5/31/2022,SPLV,Stock: Buy at Market,5,$64.85 
5/27/2022,BITO,Stock: Buy at Limit,10,$18.12 
5/27/2022,RRGB,Stock: Buy at Market,100,$10.42 
5/27/2022,ARKW,Stock: Buy at Market,10,$56.72 
5/24/2022,JNUG,Stock: Buy at Limit,10,$52.03 
5/24/2022,PBR,Stock: Buy at Limit,10,$14.30 
5/24/2022,AMD2227E95,Option: Buy to Open at Market Open,5,$1.73 
5/24/2022,GLD2227E172.5,Option: Buy to Open at Market Open,10,$1.64 
5/24/2022,SCHD2217F75,Option: Buy to Open at Market Open,5,$1.73 
5/24/2022,MPW2217F18,Option: Buy to Open at Market Open,10,$0.68 
5/24/2022,DEA2217F20,Option: Buy to Open at Market Open,5,$0.20 
5/24/2022,XOM2227E94,Option: Buy to Open at Market Open,10,$0.53 
5/23/2022,T,Stock: Buy at Limit,5,$20.46 
5/23/2022,VZ,Stock: Buy at Stop,5,$49.59 
5/23/2022,ZYME,Stock: Buy at Stop,100,$6.04 
5/23/2022,COIN,Stock: Buy at Stop,5,$65.14 
5/23/2022,AMZN,Stock: Buy at Limit,1,"$2,148.02 "
5/23/2022,AMZN2227E2155,Option: Buy to Open at Market Open,1,$62.80 
